date,sitename,county,aqi,status
22-08-2024 16:00,Annan,Tainan City,29,Good
22-08-2024 15:00,Annan,Tainan City,31,Good
22-08-2024 14:00,Annan,Tainan City,32,Good
22-08-2024 13:00,Annan,Tainan City,33,Good
22-08-2024 12:00,Annan,Tainan City,35,Good
22-08-2024 11:00,Annan,Tainan City,36,Good
22-08-2024 10:00,Annan,Tainan City,35,Good
22-08-2024 09:00,Annan,Tainan City,36,Good
22-08-2024 08:00,Annan,Tainan City,35,Good
22-08-2024 07:00,Annan,Tainan City,31,Good
22-08-2024 06:00,Annan,Tainan City,31,Good
22-08-2024 05:00,Annan,Tainan City,30,Good
22-08-2024 04:00,Annan,Tainan City,29,Good
22-08-2024 03:00,Annan,Tainan City,33,Good
22-08-2024 02:00,Annan,Tainan City,35,Good
22-08-2024 01:00,Annan,Tainan City,36,Good
22-08-2024 00:00,Annan,Tainan City,36,Good
21-08-2024 23:00,Annan,Tainan City,33,Good
21-08-2024 22:00,Annan,Tainan City,31,Good
21-08-2024 21:00,Annan,Tainan City,28,Good
21-08-2024 20:00,Annan,Tainan City,26,Good
21-08-2024 19:00,Annan,Tainan City,25,Good
21-08-2024 18:00,Annan,Tainan City,24,Good
21-08-2024 17:00,Annan,Tainan City,25,Good
21-08-2024 16:00,Annan,Tainan City,25,Good
21-08-2024 15:00,Annan,Tainan City,27,Good
21-08-2024 14:00,Annan,Tainan City,28,Good
21-08-2024 13:00,Annan,Tainan City,28,Good
21-08-2024 12:00,Annan,Tainan City,29,Good
21-08-2024 11:00,Annan,Tainan City,28,Good
21-08-2024 10:00,Annan,Tainan City,26,Good
21-08-2024 09:00,Annan,Tainan City,29,Good
21-08-2024 08:00,Annan,Tainan City,29,Good
21-08-2024 07:00,Annan,Tainan City,29,Good
21-08-2024 06:00,Annan,Tainan City,32,Good
21-08-2024 05:00,Annan,Tainan City,29,Good
21-08-2024 04:00,Annan,Tainan City,28,Good
21-08-2024 03:00,Annan,Tainan City,26,Good
21-08-2024 02:00,Annan,Tainan City,23,Good
21-08-2024 01:00,Annan,Tainan City,22,Good
21-08-2024 00:00,Annan,Tainan City,23,Good
20-08-2024 23:00,Annan,Tainan City,23,Good
20-08-2024 22:00,Annan,Tainan City,28,Good
20-08-2024 21:00,Annan,Tainan City,31,Good
20-08-2024 20:00,Annan,Tainan City,34,Good
20-08-2024 19:00,Annan,Tainan City,34,Good
20-08-2024 18:00,Annan,Tainan City,31,Good
20-08-2024 17:00,Annan,Tainan City,28,Good
20-08-2024 16:00,Annan,Tainan City,27,Good
20-08-2024 15:00,Annan,Tainan City,27,Good
20-08-2024 14:00,Annan,Tainan City,28,Good
20-08-2024 13:00,Annan,Tainan City,28,Good
20-08-2024 12:00,Annan,Tainan City,27,Good
20-08-2024 11:00,Annan,Tainan City,25,Good
20-08-2024 10:00,Annan,Tainan City,23,Good
20-08-2024 09:00,Annan,Tainan City,21,Good
20-08-2024 08:00,Annan,Tainan City,19,Good
20-08-2024 07:00,Annan,Tainan City,19,Good
20-08-2024 06:00,Annan,Tainan City,20,Good
20-08-2024 05:00,Annan,Tainan City,21,Good
20-08-2024 04:00,Annan,Tainan City,23,Good
20-08-2024 03:00,Annan,Tainan City,24,Good
20-08-2024 02:00,Annan,Tainan City,26,Good
20-08-2024 01:00,Annan,Tainan City,26,Good
20-08-2024 00:00,Annan,Tainan City,28,Good
19-08-2024 23:00,Annan,Tainan City,30,Good
19-08-2024 22:00,Annan,Tainan City,31,Good
19-08-2024 21:00,Annan,Tainan City,33,Good
19-08-2024 20:00,Annan,Tainan City,37,Good
19-08-2024 19:00,Annan,Tainan City,39,Good
19-08-2024 18:00,Annan,Tainan City,39,Good
19-08-2024 17:00,Annan,Tainan City,39,Good
19-08-2024 16:00,Annan,Tainan City,36,Good
